# hiewLM — imported API behaviour table.
#
#   behaviour | api | strength | note
#
# `strength` is `strong` or `weak`. A weak API is one that appears in almost
# every compiled program (CRT startup, ordinary file access): it is still listed
# for context, but it does not raise the score on its own, or every Rust and
# MSVC binary would look armed. A behaviour category only scores when something
# strong lands in it.
#
# Names are matched case-insensitively, with or without a `dll!` prefix and with
# the trailing A/W dropped, so one entry covers CreateFileA and CreateFileW.
#
# Copy this file to <config>/hiewlm/rules/apis.txt to replace it wholesale.

# ── Process injection and remote code execution ───────────────────────────────
injection | WriteProcessMemory | strong | writes into another process
injection | NtWriteVirtualMemory | strong | writes into another process (syscall)
injection | ZwWriteVirtualMemory | strong | writes into another process (syscall)
injection | ReadProcessMemory | strong | reads another process's memory
injection | NtReadVirtualMemory | strong | reads another process's memory (syscall)
injection | VirtualAllocEx | strong | allocates memory in another process
injection | NtAllocateVirtualMemory | strong | allocates memory (syscall)
injection | VirtualProtectEx | strong | changes page rights in another process
injection | NtProtectVirtualMemory | strong | changes page rights (syscall)
injection | CreateRemoteThread | strong | starts a thread in another process
injection | CreateRemoteThreadEx | strong | starts a thread in another process
injection | NtCreateThreadEx | strong | undocumented remote thread creation
injection | RtlCreateUserThread | strong | undocumented remote thread creation
injection | QueueUserAPC | strong | APC injection
injection | NtQueueApcThread | strong | APC injection (syscall)
injection | NtQueueApcThreadEx | strong | APC injection (syscall)
injection | SetThreadContext | strong | hijacks a thread's execution (hollowing)
injection | NtSetContextThread | strong | hijacks a thread's execution (syscall)
injection | GetThreadContext | strong | reads a thread's registers (hollowing)
injection | NtGetContextThread | strong | reads a thread's registers (syscall)
injection | NtUnmapViewOfSection | strong | unmaps the original image (hollowing)
injection | ZwUnmapViewOfSection | strong | unmaps the original image (hollowing)
injection | NtMapViewOfSection | strong | section-based injection
injection | ZwMapViewOfSection | strong | section-based injection
injection | NtCreateSection | strong | creates a shared section (injection)
injection | SetWindowsHookEx | strong | loads a DLL into other processes
injection | SetWinEventHook | strong | event hook, loads code into other processes
injection | CreateProcessInternal | strong | low-level process creation
injection | NtCreateUserProcess | strong | low-level process creation (syscall)
injection | NtResumeThread | strong | resumes a suspended (hollowed) process
injection | ResumeThread | strong | resumes a suspended (hollowed) process
injection | NtSuspendThread | strong | suspends a thread before hijacking it
injection | SuspendThread | strong | suspends a thread before hijacking it
injection | UpdateProcThreadAttribute | strong | parent-PID spoofing / mitigation control
injection | InitializeProcThreadAttributeList | strong | parent-PID spoofing setup
injection | SetPropA | weak | window-property injection primitive
injection | NtOpenProcess | strong | opens another process (syscall)
injection | LdrpLoadDll | strong | loader-level module load

