# hiewLM — document indicator table (OLE2, OOXML, RTF, PDF, VBA).
#
#   kind | value | severity | note
#
# severity is `suspicious` or `info`. Matching is case-insensitive substring.
#
# kind:
#   ole        a stream or storage name inside an OLE2 compound file
#   ooxml      a part name inside an OOXML package
#   rtf        an RTF control word or literal
#   pdf        a PDF name object or literal
#   vba-*      a VBA source keyword, grouped by what it means:
#              vba-autoexec, vba-execution, vba-download, vba-obfuscation,
#              vba-memory, vba-persistence, vba-evasion, vba-lure
#
# Copy to <config>/hiewlm/rules/documents.txt to replace it wholesale.

# ── OLE2 compound documents ───────────────────────────────────────────────────
ole | Macros | suspicious | VBA macro storage
ole | _VBA_PROJECT | suspicious | VBA project
ole | VBA/ | suspicious | VBA module storage
ole | vbaProject | suspicious | VBA project
ole | \x03VBFrame | suspicious | UserForm — often used to hide payload strings
ole | ObjectPool | suspicious | embedded OLE objects
ole | Ole10Native | suspicious | embedded native payload (Packager) — the dropped file
ole | Package | suspicious | embedded package — often the dropped file
ole | Equation Native | suspicious | Equation Editor object (CVE-2017-11882 / CVE-2018-0802)
ole | Equation.3 | suspicious | Equation Editor object class
ole | MSDraw | suspicious | embedded drawing object (historically exploited)
ole | OLE2Link | suspicious | OLE2Link object (CVE-2017-0199)
ole | otkloadr | suspicious | VB runtime loader — ASLR-bypass helper in exploit documents
ole | EncryptedPackage | suspicious | encrypted document — content hidden from scanners
ole | EncryptionInfo | suspicious | encryption header
ole | DataSpaces | suspicious | agile encryption container
ole | _SX_DB_CUR | suspicious | Excel 4.0 macro sheet
ole | Ctls | suspicious | ActiveX controls
ole | MsoDataStore | info | custom XML data store
ole | WordDocument | info | Word document body
ole | 1Table | info | Word table stream
ole | 0Table | info | Word table stream
ole | Workbook | info | Excel workbook body
ole | Book | info | Excel workbook body (BIFF5)
ole | PowerPoint Document | info | PowerPoint document body
ole | Pictures | info | PowerPoint picture stream
ole | Current User | info | PowerPoint user stream
ole | SummaryInformation | info | document metadata
ole | CompObj | info | object compatibility record
ole | Contents | info | embedded object contents

# ── OOXML packages ────────────────────────────────────────────────────────────
ooxml | vbaProject.bin | suspicious | VBA macro project
ooxml | vbaData.xml | suspicious | VBA data
ooxml | macrosheets/ | suspicious | Excel 4.0 macro sheet (XLM) — runs without VBA
ooxml | xl/macrosheet | suspicious | Excel 4.0 macro sheet (XLM)
ooxml | activeX/ | suspicious | ActiveX control
ooxml | embeddings/ | suspicious | embedded object
ooxml | oleObject | suspicious | embedded OLE object
ooxml | externalLinks/ | suspicious | external workbook link — can carry DDE
ooxml | subDocument | suspicious | sub-document reference (can be remote)
ooxml | .wmf | suspicious | WMF image (historically exploited image parser)
ooxml | .emf | suspicious | EMF image (historically exploited image parser)
ooxml | .eps | suspicious | EPS image (CVE-2017-0261 / CVE-2017-0262 vector)
ooxml | AndroidManifest.xml | suspicious | this is an APK, not an Office document
ooxml | classes.dex | suspicious | this is an APK, not an Office document
ooxml | META-INF/MANIFEST.MF | suspicious | this is a JAR, not an Office document
ooxml | customXml/ | info | custom XML part
ooxml | printerSettings | info | printer settings blob
ooxml | docProps/ | info | document properties
ooxml | theme/ | info | theme part

# ── RTF ───────────────────────────────────────────────────────────────────────
rtf | \objdata | suspicious | embedded object payload (hex-encoded)
rtf | \objupdate | suspicious | object updates itself on open — no click required
rtf | \objautlink | suspicious | auto-linked object
rtf | \objocx | suspicious | embedded OCX control
rtf | \objlink | suspicious | linked object (can be remote)
rtf | \objhtml | suspicious | HTML object
rtf | \objemb | suspicious | embedded object
rtf | \datastore | suspicious | data store — used to smuggle payloads
rtf | \*\template | suspicious | remote template reference
rtf | \wmetafile | suspicious | embedded metafile (historically exploited)
rtf | \pntext | info | list text — a common control-word obfuscation carrier
